gname,platform,year,genre,publisher,global_sales,critic_score,critic_count,user_score,user_count,developer,rating,region,sales
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,21.04,97,50,8.2,3994,Rockstar North,M,North America,7.02
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,21.04,97,50,8.2,3994,Rockstar North,M,Europe,9.09
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,21.04,97,50,8.2,3994,Rockstar North,M,Japan,0.98
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,21.04,97,50,8.2,3994,Rockstar North,M,Other Region,3.96
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,16.27,97,58,8.1,3711,Rockstar North,M,North America,9.66
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,16.27,97,58,8.1,3711,Rockstar North,M,Europe,5.14
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,16.27,97,58,8.1,3711,Rockstar North,M,Japan,0.06
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,16.27,97,58,8.1,3711,Rockstar North,M,Other Region,1.41
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,13.67,83,73,4.8,2256,Treyarch,M,North America,8.25
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,13.67,83,73,4.8,2256,Treyarch,M,Europe,4.24
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,13.67,83,73,4.8,2256,Treyarch,M,Japan,0.07
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,13.67,83,73,4.8,2256,Treyarch,M,Other Region,1.12
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,12.61,97,66,8.3,2899,Rockstar North,M,North America,3.96
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,12.61,97,66,8.3,2899,Rockstar North,M,Europe,6.31
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,12.61,97,66,8.3,2899,Rockstar North,M,Japan,0.38
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,12.61,97,66,8.3,2899,Rockstar North,M,Other Region,1.97
Call of Duty: Ghosts,X360,2013,Shooter,Activision,10.25,73,29,2.6,2117,Infinity Ward,M,North America,6.73
Call of Duty: Ghosts,X360,2013,Shooter,Activision,10.25,73,29,2.6,2117,Infinity Ward,M,Europe,2.56
Call of Duty: Ghosts,X360,2013,Shooter,Activision,10.25,73,29,2.6,2117,Infinity Ward,M,Japan,0.04
Call of Duty: Ghosts,X360,2013,Shooter,Activision,10.25,73,29,2.6,2117,Infinity Ward,M,Other Region,0.91
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,9.9,78,70,7.2,424,Nintendo,E,North America,3.66
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,9.9,78,70,7.2,424,Nintendo,E,Europe,3.14
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,9.9,78,70,7.2,424,Nintendo,E,Japan,2.47
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,9.9,78,70,7.2,424,Nintendo,E,Other Region,0.63
Halo 4,X360,2012,Shooter,Microsoft Game Studios,9.71,87,87,7,3260,343 Industries,M,North America,6.65
Halo 4,X360,2012,Shooter,Microsoft Game Studios,9.71,87,87,7,3260,343 Industries,M,Europe,2.28
Halo 4,X360,2012,Shooter,Microsoft Game Studios,9.71,87,87,7,3260,343 Industries,M,Japan,0.04
Halo 4,X360,2012,Shooter,Microsoft Game Studios,9.71,87,87,7,3260,343 Industries,M,Other Region,0.74
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,9.16,88,70,8.7,626,Nintendo,E,North America,2.03
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,9.16,88,70,8.7,626,Nintendo,E,Europe,2.36
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,9.16,88,70,8.7,626,Nintendo,E,Japan,4.39
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,9.16,88,70,8.7,626,Nintendo,E,Other Region,0.39
FIFA 16,PS4,2015,Sports,Electronic Arts,8.57,82,42,4.3,896,EA Sports,E,North America,1.12
FIFA 16,PS4,2015,Sports,Electronic Arts,8.57,82,42,4.3,896,EA Sports,E,Europe,6.12
FIFA 16,PS4,2015,Sports,Electronic Arts,8.57,82,42,4.3,896,EA Sports,E,Japan,0.06
FIFA 16,PS4,2015,Sports,Electronic Arts,8.57,82,42,4.3,896,EA Sports,E,Other Region,1.28
