gname,platform,year,genre,publisher,global_sales,critic_score,critic_count,user_score,user_count,developer,rating,region,sales
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,21.81,61,45,6.3,106,Good Science Studio,E,North America,15
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,21.81,61,45,6.3,106,Good Science Studio,E,Europe,4.89
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,21.81,61,45,6.3,106,Good Science Studio,E,Japan,0.24
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,21.81,61,45,6.3,106,Good Science Studio,E,Other Region,1.69
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,21.04,97,50,8.2,3994,Rockstar North,M,North America,7.02
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,21.04,97,50,8.2,3994,Rockstar North,M,Europe,9.09
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,21.04,97,50,8.2,3994,Rockstar North,M,Japan,0.98
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,21.04,97,50,8.2,3994,Rockstar North,M,Other Region,3.96
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,16.27,97,58,8.1,3711,Rockstar North,M,North America,9.66
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,16.27,97,58,8.1,3711,Rockstar North,M,Europe,5.14
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,16.27,97,58,8.1,3711,Rockstar North,M,Japan,0.06
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,16.27,97,58,8.1,3711,Rockstar North,M,Other Region,1.41
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,14.73,88,81,3.4,8713,"Infinity Ward, Sledgehammer Games",M,North America,9.04
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,14.73,88,81,3.4,8713,"Infinity Ward, Sledgehammer Games",M,Europe,4.24
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,14.73,88,81,3.4,8713,"Infinity Ward, Sledgehammer Games",M,Japan,0.13
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,14.73,88,81,3.4,8713,"Infinity Ward, Sledgehammer Games",M,Other Region,1.32
Call of Duty: Black Ops,X360,2010,Shooter,Activision,14.61,87,89,6.3,1454,Treyarch,M,North America,9.7
